"lhs","est","se","pvalue","std.all","negative_variance"
"support_1",0.299,0.014,0,0.318,FALSE
"support_2",0.387,0.015,0,0.421,FALSE
"support_3",0.447,0.016,0,0.493,FALSE
"support_4",0.502,0.017,0,0.53,FALSE
"engagement_1",0.297,0.013,0,0.331,FALSE
"engagement_2",0.355,0.013,0,0.412,FALSE
"engagement_3",0.442,0.015,0,0.486,FALSE
"engagement_4",0.474,0.016,0,0.541,FALSE
"confidence_1",0.23,0.013,0,0.276,FALSE
"confidence_2",0.366,0.014,0,0.426,FALSE
"confidence_3",0.505,0.016,0,0.554,FALSE
"followup_score",30.532,1.085,0,0.167,FALSE
"support",1,0,NA,1,FALSE
"engagement",1,0,NA,0.587,FALSE
"confidence",1,0,NA,0.547,FALSE
"baseline_z",0.98,0,NA,1,FALSE
"high_school",0.25,0,NA,1,FALSE
