"lhs","rhs","est.std","se","ci.lower","ci.upper"
"support","support_1",0.826941689747583,0.0101258318589949,0.807095423990445,0.846787955504721
"support","support_2",0.757354236458058,0.011457777408449,0.734897405394622,0.779811067521495
"support","support_3",0.713684986528604,0.0126315490958293,0.688927605231829,0.738442367825379
"support","support_4",0.685797077280349,0.0133232432197323,0.659684000412406,0.711910154148292
"engagement","engagement_1",0.814019457814476,0.00982486685710852,0.794763072621642,0.83327584300731
"engagement","engagement_2",0.767209340488495,0.0109851432221216,0.745678855408123,0.788739825568868
"engagement","engagement_3",0.717957466331302,0.0124999573146598,0.693458000186281,0.742456932476323
"engagement","engagement_4",0.677705717344342,0.0137458736588526,0.650764300036953,0.704647134651731
"confidence","confidence_1",0.851133335752407,0.0109943408582524,0.829584823636475,0.872681847868339
"confidence","confidence_2",0.757098141029725,0.0121956723776354,0.733195062402309,0.78100121965714
"confidence","confidence_3",0.664355883594196,0.0139754081624014,0.636964586926642,0.69174718026175
