"lhs","rhs","est.std","se","ci.lower","ci.upper"
"engagement","support",0.592206329616036,0.0167074341755911,0.559460360357804,0.624952298874269
"engagement","baseline_z",0.233581676600968,0.0177882750009136,0.198717298252083,0.268446054949853
"engagement","high_school",-0.0865797029848717,0.0187074893872723,-0.123245708425091,-0.0499136975446527
"confidence","engagement",0.46620352471317,0.0277926217094826,0.411730987126638,0.520676062299702
"confidence","support",0.199528060328656,0.0277649814993957,0.145109696558419,0.253946424098892
"confidence","baseline_z",0.204685167222439,0.0195008686714893,0.166464166959074,0.242906167485803
"confidence","high_school",0.0138216421733435,0.0187136174448035,-0.0228563740389319,0.0504996583856189
"followup_score","confidence",0.317042136236968,0.015014402491216,0.287614448104796,0.34646982436914
"followup_score","engagement",0.274143139668287,0.0170308420668084,0.240763302590953,0.307522976745621
"followup_score","support",0.121030103184951,0.0142344276123619,0.0931311377241793,0.148929068645723
"followup_score","baseline_z",0.529950215942818,0.00976590331484131,0.510809397169229,0.549091034716407
"followup_score","high_school",-0.0348328116144284,0.0094042923118753,-0.0532648858457909,-0.0164007373830659
